continent,country_territory,admin_name,notes
Americas,Dominican Republic,Dominican Republic,
Americas,Ecuador,Ecuador,
Americas,Ecuador (Galapagos),Ecuador,
Americas,El Salvador,El Salvador,
Americas,French Guiana,France,
Americas,Greenland,Denmark,
Americas,Grenada,Grenada,
Americas,Guadeloupe,France,
Americas,Guatemala,Guatemala,
Americas,Guyana,Guyana,
Americas,Haiti,Haiti,
Americas,Honduras,Honduras,
Americas,Jamaica,Jamaica,
Americas,Martinique,France,
Americas,Mexico,Mexico,
Americas,Montserrat,the United Kingdom of Great Britain and Northern Ireland,
Americas,Nicaragua,Nicaragua,
Americas,Panama,Panama,
Americas,Peru,Peru,
Americas,Puerto Rico,United States of America,
Americas,Saba,Netherlands (Kingdom of the),
Americas,Saint Kitts and Nevis,Saint Kitts and Nevis,
Americas,Saint Lucia,Saint Lucia,
Americas,Saint Pierre and Miquelon,France,
Americas,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,
Americas,Suriname,Suriname,
Americas,Trinidad and Tobago,Trinidad and Tobago,
Americas,Turks and Caicos Islands,the United Kingdom of Great Britain and Northern Ireland,
Americas,United States of America,United States of America,
Americas,United States of America (Alaska),United States of America,
Americas,United States of America (Hawaii),United States of America,
Americas,United States Virgin Islands,United States of America,
Americas,Uruguay,Uruguay,
Americas,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),
Asia,Andaman and Nicobar Islands,India,
Asia,Azerbaijan,Azerbaijan,
Asia,Bahrain,Bahrain,
Asia,Bangladesh,Bangladesh,
Asia,Brunei Darussalam,Brunei Darussalam,
Asia,Cambodia,Cambodia,
Asia,Chagos Archipelago,NA,Mauritius OR the United Kingdom of Great Britain and Northern Ireland
Asia,China,China,
Asia,Cyprus,Cyprus,
Asia,Democratic People's Republic of Korea,Democratic People's Republic of Korea,
Asia,India,India,
Asia,Indonesia,Indonesia,
Asia,Iran (Islamic Republic of),Iran (Islamic Republic of),
Asia,Iraq,Iraq,
Asia,Israel,Israel,
Asia,Japan,Japan,
Asia,Jordan,Jordan,
Asia,Kazakhstan,Kazakhstan,
Asia,Kuwait,Kuwait,
Asia,Lebanon,Lebanon,
Asia,Malaysia,Malaysia,
Asia,Maldives,Maldives,
Asia,Myanmar,Myanmar,
Asia,Oman,Oman,
Asia,Pakistan,Pakistan,
Asia,Philippines,Philippines,
Asia,Qatar,Qatar,
Asia,Republic of Korea,Republic of Korea,
Asia,Saudi Arabia,Saudi Arabia,
Asia,Sri Lanka,Sri Lanka,
Asia,Syrian Arab Republic,Syrian Arab Republic,
Asia,Taiwan Province of China,China,
Asia,Thailand,Thailand,
Asia,Timor-Leste,Timor-Leste,
Asia,Türkiye,Türkiye,
Asia,Turkmenistan,Turkmenistan,
Asia,United Arab Emirates,United Arab Emirates,
Asia,Viet Nam,Viet Nam,
Asia,Yemen,Yemen,
Europe,Albania,Albania,
Europe,Belgium,Belgium,
Europe,Bulgaria,Bulgaria,
Europe,Canary Islands,Spain,
Europe,Croatia,Croatia,
Europe,Denmark,Denmark,
Europe,Estonia,Estonia,
Europe,Faroe Islands,Denmark,
Europe,Finland,Finland,
Europe,France,France,
Europe,Georgia,Georgia,
Europe,Germany,Germany,
Europe,Greece,Greece,
Europe,Guernsey,the United Kingdom of Great Britain and Northern Ireland,
Europe,Iceland,Iceland,
Europe,Ireland,Ireland,
Europe,Italy,Italy,
Europe,Jan Mayen Island,Norway,
Europe,Latvia,Latvia,
Europe,Lithuania,Lithuania,
Europe,Madeira Islands,Portugal,
Europe,Malta,Malta,
Europe,Montenegro,Montenegro,
Europe,Netherlands (Kingdom of the),Netherlands (Kingdom of the),
Europe,Norway,Norway,
Europe,Poland,Poland,
Europe,Portugal,Portugal,
Europe,Portugal (Azores Islands),Portugal,
Europe,Romania,Romania,
Europe,Russian Federation,Russian Federation,
Europe,Spain,Spain,
Europe,Svalbard Islands,Norway,
Europe,Sweden,Sweden,
Europe,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,
Oceania,American Samoa,United States of America,
Oceania,Australia,Australia,
Oceania,Australia (Macquarie Island),Australia,
Oceania,Christmas Island,Australia,
Oceania,Clipperton Island,France,
Oceania,Cocos (Keeling) Islands,Australia,
Oceania,Cook Islands,New Zealand,
Oceania,Fiji,Fiji,
Oceania,French Polynesia,France,
Oceania,Guam,United States of America,
Oceania,Heard Island and McDonald Islands,Australia,
Oceania,Howland and Baker Islands,United States of America,
Oceania,Jarvis Island,United States of America,
Oceania,Johnston Atoll,United States of America,
Oceania,Kiribati (Gilbert Islands),Kiribati,
Oceania,Kiribati (Line Islands),Kiribati,
Oceania,Kiribati (Phoenix Islands),Kiribati,
Oceania,Marshall Islands,Marshall Islands,
Oceania,Micronesia (Federated States of),Micronesia (Federated States of),
Oceania,Nauru,Nauru,
Oceania,New Caledonia,France,
Oceania,New Zealand,New Zealand,
Oceania,Niue,New Zealand,
Oceania,Norfolk Island,Australia,
Oceania,Northern Mariana Islands,United States of America,
Oceania,Palau,Palau,
Oceania,Palmyra Atoll,United States of America,
Oceania,Papua New Guinea,Papua New Guinea,
Oceania,Pitcairn,the United Kingdom of Great Britain and Northern Ireland,
Oceania,Samoa,Samoa,
Oceania,Solomon Islands,Solomon Islands,
Oceania,Tokelau,New Zealand,
Oceania,Tonga,Tonga,
Oceania,Tuvalu,Tuvalu,
Oceania,Vanuatu,Vanuatu,
Oceania,Wake Island,United States of America,
Oceania,Wallis and Futuna Islands,France,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
